Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,42:48,9,17,.529,0,4,.000,9,10,.900,0,2,2,1,1,0,3,4,27,+4
LeBron James\jamesle01,37:15,14,23,.609,1,4,.250,1,2,.500,1,9,10,11,2,2,6,1,30,+2
Kentavious Caldwell-Pope\caldwke01,26:46,5,8,.625,2,5,.400,0,0,,1,2,3,1,1,0,0,1,12,-9
Danny Green\greenda02,20:09,1,4,.250,1,3,.333,1,2,.500,1,3,4,1,0,0,0,4,4,-3
JaVale McGee\mcgeeja01,8:05,2,2,1.000,0,0,,0,1,.000,0,1,1,0,1,0,0,2,4,+2
Rajon Rondo\rondora01,29:36,4,10,.400,0,3,.000,1,3,.333,0,2,2,8,3,0,4,4,9,-13
Kyle Kuzma\kuzmaky01,26:01,4,7,.571,1,2,.500,2,3,.667,0,1,1,1,0,0,1,1,11,-3
Alex Caruso\carusal01,24:41,1,7,.143,0,4,.000,0,0,,0,1,1,3,2,0,1,3,2,-6
Dwight Howard\howardw01,14:04,2,3,.667,0,0,,0,1,.000,1,0,1,0,1,1,1,4,4,-1
Markieff Morris\morrima02,10:35,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,-13
Quinn Cook\cookqu01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
J.R. Smith\smithjr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jared Dudley\dudleja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
